Designator,Footprint,Mid X,Mid Y,TB,Rotation,Comment
C4,0805-NO,79.85mil,-89.929227mil,B,-90,10uF
J1,GCT_SIM7200-6-0-18-00-X_REVA,85.087mil,-61.723mil,B,-90,GCT-SIM7200-XRevA
J2,microSD_HC_Molex_47219-2001,94.175mil,-82.033mil,B,-90,Micro_SD_Card
J4,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,81mil,-97.5mil,B,180,BAT_PORT
J5,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,96.577191mil,-97.491398mil,B,180,PROG_PORT
R7,0603-NO,83.85mil,-87mil,B,0,1K
R8,0603-NO,80.404275mil,-86.978523mil,B,180,2K
U3,SOT-23-5,83.420188mil,-89.978133mil,B,180,MCP73831-2-OT
C1,0805-NO,96.95mil,-91mil,T,180,10uF
C2,0805-NO,96.95mil,-93mil,T,180,1uF
C3,EIA3528,91mil,-92mil,T,0,68uF-10V-10%
C5,0603-NO,89.408mil,-97.956mil,T,90,0.1uF
C8,0805-NO,78.05mil,-60.63mil,T,180,10uF
C9,0805-NO,78.05mil,-63.13mil,T,180,10uF
C10,0805-NO,78.05mil,-65.63mil,T,180,10uF
C11,0603-NO,78mil,-68.57mil,T,180,0.1uF
C12,0805-NO,100.142mil,-60.985392mil,T,0,10uF
C13,0805-NO,100.142mil,-63.485392mil,T,0,10uF
C14,0603-NO,100.252mil,-65.425392mil,T,0,0.1uF
CHG,LED-0603,86.995mil,-97.155mil,T,-90,CHG
D1,LED-0603,77.597mil,-87.122mil,T,90,LED_GSM
D2,LED-0603,77.597mil,-75.692mil,T,-90,LED_GPS
GPS_ANTENNA,4P-U-FL,100mil,-56mil,T,0,ANTENNA-U-FL
GSM_ANTENNA,4P-U-FL,79mil,-56.141642mil,T,180,ANTENNA-U-FL
L2,L0603,97.536mil,-58.801mil,T,-90,82nH
R1,0603-NO,93mil,-97mil,T,180,10K
R2,0603-NO,93mil,-99mil,T,0,1K
R3,0603-NO,78mil,-91mil,T,0,200K
R4,0603-NO,78mil,-93mil,T,180,100K
R5,0603-NO,77.597mil,-83.439mil,T,-90,1K
R6,0603-NO,77.597mil,-79.629mil,T,90,1K
R9,0603-NO,91mil,-63mil,T,-90,10K
R10,0603-NO,87mil,-63.15mil,T,-90,10K
SW_POW1,"SW_Push_SPST_NO_Alps_SKRK SMD,2.9x3.9mm",99.569479mil,-98mil,T,180,POWER
SW_RST1,"SW_Push_SPST_NO_Alps_SKRK SMD,2.9x3.9mm",79mil,-98mil,T,180,RESET
U1,"A9G, SMD, 18.8x19.2mm",90.8mil,-77.5mil,T,0,A9G
U5,QFN_BMP388_BOS,92.334585mil,-55.337172mil,T,0,BMP388
U7,SOT23-6,83mil,-63mil,T,90,AP7312-1833
U9,SOT23-5,95.3001mil,-61.95mil,T,90,MIC5225-3.3
X1,ENS160,85.691mil,-56.354mil,T,0,ENS160
